blind_zone_num,primary_district,area_km2,mean_excess_min_capped30,unreachable_area_km2,severity_area_score,blind_zone_id
1,Qaradağ,892.3697902671008,11.968438052127338,156.8262714115656,10680.272554401661,BLIND-001
3,Xəzər,249.0220346593273,10.193101241130131,3.849963004323348,2538.3068105547395,BLIND-002
22,Sabunçu,93.9132835303189,2.6145656237316466,0.0,245.54244273013524,BLIND-003
19,Pirallahı,9.972496507256388,15.000000000000004,0.16214885382263886,149.58744760884585,BLIND-004
11,Pirallahı,8.044321917863819,15.000000000000002,8.044321917863819,120.6648287679573,BLIND-005
13,Suraxanı,39.10900747420142,2.6350519727031645,0.0,103.05426729535725,BLIND-006
27,Binəqədi,11.317089578242294,4.550705144834013,0.0,51.5007377682546,BLIND-007
9,Qaradağ,2.517529013162371,14.999999999999998,2.517529013162371,37.76293519743556,BLIND-008
20,Xəzər,1.125,15.0,1.125,16.875,BLIND-009
4,Qaradağ,3.9375,3.2998946179273805,0.5625,12.99333505808906,BLIND-010
24,Sabunçu,0.5625,15.0,0.5625,8.4375,BLIND-011
16,Yasamal,0.5625,15.0,0.5625,8.4375,BLIND-012
18,Nizami,0.5625,15.0,0.5625,8.4375,BLIND-013
10,Qaradağ,3.9375,1.8644549835423483,0.0,7.341291497697997,BLIND-014
26,Xəzər,0.363922495647019,15.0,0.363922495647019,5.458837434705285,BLIND-015
5,Qaradağ,0.8441205064861985,3.827095331971933,0.0,3.230529649995114,BLIND-016
7,Qaradağ,1.6875,1.6310195776441745,0.0,2.7523455372745445,BLIND-017
21,Xəzər,1.125,2.3834603635916753,0.0,2.6813929090406345,BLIND-018
8,Qaradağ,1.9447862581764455,0.703033542083197,0.0,1.3672499716805133,BLIND-019
15,Qaradağ,0.5625,2.1784297462242037,0.0,1.2253667322511146,BLIND-020
6,Qaradağ,0.4399909068358109,1.1596529892177265,0.0,0.5102367703407663,BLIND-021
12,Qaradağ,0.5625,0.6897037426385779,0.0,0.3879583552342001,BLIND-022
2,Qaradağ,0.5625,0.4499147125680043,0.0,0.2530770258195024,BLIND-023
23,Xəzər,0.5625,0.44847527354597183,0.0,0.25226734136960915,BLIND-024
17,Suraxanı,0.5625,0.41602557323266787,0.0,0.23401438494337568,BLIND-025
25,Xəzər,0.5625,0.19600767408307362,0.0,0.11025431667172891,BLIND-026
14,Xətai,0.10599672380178154,0.8453044392811986,0.0,0.08959950117890902,BLIND-027
