osm_type,osm_id,osm_element,name,amenity,man_made,shop,railway,public_transport,parking,access,motorcar,operator,brand,capacity,opening_hours,fee,socket_type2,socket_ccs,socket_chademo,raw_tags,site_type,field_status,existing_distance_m,candidate_id,district,road_node,snap_dist_m,deployment_rank,marginal_population_15_est,marginal_land_15_km2,marginal_population_10_est,marginal_land_10_km2,longitude,latitude,osm_url,solver_scenario,solver_status
way,1133902308,way/1133902308,Parkinq,parking,,,,,,,,,,,,,,,,"{""amenity"": ""parking"", ""name"": ""Parkinq""}",parking,desktop shortlist; access/grid capacity unverified,10195.917626626355,CAND-016,Sabunçu,9734212520,17.23311595652312,1,153313.71304392983,89.91547258478583,167913.70128754445,89.95273878312842,50.0228257,40.554933299999995,https://www.openstreetmap.org/way/1133902308,optimal_10,scipy_milp_status_0
way,1091912317,way/1091912317,Parking,parking,,,,,,,,,,,,,,,,"{""amenity"": ""parking""}",parking,desktop shortlist; access/grid capacity unverified,10564.537728475587,CAND-012,Xəzər,10751497632,9.51843661779835,2,52887.30019407245,117.27691245159042,60290.681156335064,67.5,50.170398,40.435062,https://www.openstreetmap.org/way/1091912317,optimal_10,scipy_milp_status_0
node,1979243971,node/1979243971,Azpetrol,fuel,,,,,,,,,,,,,,,,"{""amenity"": ""fuel"", ""name"": ""Azpetrol""}",fuel_station,desktop shortlist; access/grid capacity unverified,31068.34199081354,CAND-018,Qaradağ,2933282949,18.35676898070821,3,38908.32084301091,125.70077178652492,29990.443633764255,45.024733807809454,49.4309608,39.994465899999994,https://www.openstreetmap.org/node/1979243971,optimal_10,scipy_milp_status_0
way,351804569,way/351804569,Parking,parking,,,,,,,,,,,,,,,,"{""amenity"": ""parking""}",parking,desktop shortlist; access/grid capacity unverified,10904.428327110209,CAND-006,Suraxanı,3576148067,27.84434842339316,4,37957.96268575295,43.678058180839336,53920.41736476327,41.57877611727952,50.0244194,40.369462000000006,https://www.openstreetmap.org/way/351804569,optimal_10,scipy_milp_status_0
node,3082734892,node/3082734892,Goradil Stansiyası,,,,halt,station,,,,,,,,,,,,"{""name"": ""Goradil Stansiyası"", ""public_transport"": ""station"", ""railway"": ""halt"", ""train"": ""yes""}",transport_station,desktop shortlist; access/grid capacity unverified,10857.492701177034,CAND-022,Binəqədi,10871897354,21.089950843143367,5,35882.78799745953,12.383635786292945,60680.78406538442,21.904121868264042,49.8280829,40.5526606,https://www.openstreetmap.org/node/3082734892,optimal_10,scipy_milp_status_0
node,9982070852,node/9982070852,Gürgan İcra Nümayəndəliyi,townhall,,,,,,,,,,,,,,,,"{""amenity"": ""townhall"", ""name"": ""Gürgan İcra Nümayəndəliyi""}",townhall,desktop shortlist; access/grid capacity unverified,25540.020867395244,CAND-004,Pirallahı,10746713898,14.469622918269184,6,26628.58264002543,62.6432337347928,16348.819061459915,39.13673608592697,50.3388841,40.3947843,https://www.openstreetmap.org/node/9982070852,optimal_10,scipy_milp_status_0
way,1216639341,way/1216639341,Parking,parking,,,,,,,,,,,,,,,,"{""amenity"": ""parking""}",parking,desktop shortlist; access/grid capacity unverified,10459.608648944875,CAND-007,Qaradağ,11273108094,22.683057829098303,7,18072.4850019468,43.22641729537223,33698.450937673915,46.74421878349037,49.718089500000005,40.32774129999999,https://www.openstreetmap.org/way/1216639341,optimal_10,scipy_milp_status_0
way,1220321406,way/1220321406,Parking,parking,,,,,,,,,,,,,,,,"{""amenity"": ""parking""}",parking,desktop shortlist; access/grid capacity unverified,15667.91620615733,CAND-005,Qaradağ,11307885329,11.886063573525576,8,13574.005616720999,63.099460689497725,10558.620345271891,42.075867792598594,49.4286449,40.1901374,https://www.openstreetmap.org/way/1220321406,optimal_10,scipy_milp_status_0
way,1320817056,way/1320817056,Parking,parking,,,,,,,,,,,,,,,,"{""amenity"": ""parking""}",parking,desktop shortlist; access/grid capacity unverified,14663.232010953683,CAND-003,Qaradağ,12223042682,15.755973527360482,9,12240.429369581165,92.9892105058596,10179.864841188391,57.05131713921978,49.59309650000001,40.37458509999999,https://www.openstreetmap.org/way/1320817056,optimal_10,scipy_milp_status_0
node,9993548649,node/9993548649,Oba Market,,,supermarket,,,,,,,,,,,,,,"{""addr:street"": ""Ağaxan Abdullayev küç."", ""name"": ""Oba Market"", ""shop"": ""supermarket""}",supermarket,desktop shortlist; access/grid capacity unverified,18266.456608935452,CAND-064,Xəzər,2973191797,22.314188392589514,10,10333.403675715395,35.99879090914666,30454.721970228347,51.469337088935724,50.2230415,40.36533300000001,https://www.openstreetmap.org/node/9993548649,optimal_10,scipy_milp_status_0
